              Procedure           Image            Address        Calls Instructions
 PyErr_NewException@plt minpack2.x86_64-linux-gnu.so       7fca54b1cc30            1            1
PyObject_GetAttrString@plt minpack2.x86_64-linux-gnu.so       7fca54b1cb70            1            1
  Py_InitModule4_64@plt minpack2.x86_64-linux-gnu.so       7fca54b1cb60            1            1
PyDict_SetItemString@plt minpack2.x86_64-linux-gnu.so       7fca54b1cae0            4            4
                  _init minpack2.x86_64-linux-gnu.so       7fca54b1ca88            1            6
        f2pyinittiming_ _arpack.x86_64-linux-gnu.so       7fca55723040            1           62
         f2pyinitdebug_ _arpack.x86_64-linux-gnu.so       7fca55722fb0            1           48
    PyFortranObject_New _arpack.x86_64-linux-gnu.so       7fca557219e0            2         2445
PyFortranObject_NewAsAttr _arpack.x86_64-linux-gnu.so       7fca55721990           12          240
 F2PyDict_SetItemString _arpack.x86_64-linux-gnu.so       7fca55721930            2            6
            init_arpack _arpack.x86_64-linux-gnu.so       7fca55720d40            1          206
                  .text _arpack.x86_64-linux-gnu.so       7fca557163a0            0          121
         PyDict_New@plt _arpack.x86_64-linux-gnu.so       7fca55716340           14           14
PyImport_ImportModule@plt _arpack.x86_64-linux-gnu.so       7fca55716040            1            1
 PyErr_NewException@plt _arpack.x86_64-linux-gnu.so       7fca55715e60            1            1
PyFortranObject_NewAsAttr@plt _arpack.x86_64-linux-gnu.so       7fca55715de0           12           12
PyObject_GetAttrString@plt _arpack.x86_64-linux-gnu.so       7fca55715dd0            1            1
F2PyDict_SetItemString@plt _arpack.x86_64-linux-gnu.so       7fca55715d80            2            2
PyCObject_AsVoidPtr@plt _arpack.x86_64-linux-gnu.so       7fca55715b50            1            1
   PyModule_GetDict@plt _arpack.x86_64-linux-gnu.so       7fca55715af0            1            1
PyString_FromString@plt _arpack.x86_64-linux-gnu.so       7fca557159e0            2            2
PyFortranObject_New@plt _arpack.x86_64-linux-gnu.so       7fca557157e0            2            2
     PyErr_Occurred@plt _arpack.x86_64-linux-gnu.so       7fca55715780            1            1
      _PyObject_New@plt _arpack.x86_64-linux-gnu.so       7fca55715610           14           14
    f2pyinittiming_@plt _arpack.x86_64-linux-gnu.so       7fca557155d0            1            1
  Py_InitModule4_64@plt _arpack.x86_64-linux-gnu.so       7fca557153f0            1            1
     f2pyinitdebug_@plt _arpack.x86_64-linux-gnu.so       7fca557153d0            1            1
PyDict_SetItemString@plt _arpack.x86_64-linux-gnu.so       7fca557152c0           71           71
                  _init _arpack.x86_64-linux-gnu.so       7fca55715260            1            6
           init_superlu _superlu.x86_64-linux-gnu.so       7fca563e7b40            1           71
                  .text _superlu.x86_64-linux-gnu.so       7fca563e71c0            0           17
   PyModule_GetDict@plt _superlu.x86_64-linux-gnu.so       7fca563e7120            1            1
PyCObject_AsVoidPtr@plt _superlu.x86_64-linux-gnu.so       7fca563e6fd0            1            1
PyImport_ImportModule@plt _superlu.x86_64-linux-gnu.so       7fca563e6e90            1            1
       PyType_Ready@plt _superlu.x86_64-linux-gnu.so       7fca563e6d90            2            2
PyObject_GetAttrString@plt _superlu.x86_64-linux-gnu.so       7fca563e6c60            1            1
  Py_InitModule4_64@plt _superlu.x86_64-linux-gnu.so       7fca563e6c50            1            1
PyDict_SetItemString@plt _superlu.x86_64-linux-gnu.so       7fca563e6b60            1            1
                  _init _superlu.x86_64-linux-gnu.so       7fca563e6b10            1            6
PyFortranObject_NewAsAttr _iterative.x86_64-linux-gnu.so       7fca56c4f470           28          560
         init_iterative _iterative.x86_64-linux-gnu.so       7fca56c4e870            1          337
                  .text _iterative.x86_64-linux-gnu.so       7fca56c45420            0           17
   PyModule_GetDict@plt _iterative.x86_64-linux-gnu.so       7fca56c452b0            1            1
      _PyObject_New@plt _iterative.x86_64-linux-gnu.so       7fca56c451a0           28           28
PyCObject_AsVoidPtr@plt _iterative.x86_64-linux-gnu.so       7fca56c45140            1            1
         PyDict_New@plt _iterative.x86_64-linux-gnu.so       7fca56c45100           28           28
PyFortranObject_NewAsAttr@plt _iterative.x86_64-linux-gnu.so       7fca56c45050           28           28
PyImport_ImportModule@plt _iterative.x86_64-linux-gnu.so       7fca56c44fc0            1            1
     PyErr_Occurred@plt _iterative.x86_64-linux-gnu.so       7fca56c44fb0            1            1
PyString_FromString@plt _iterative.x86_64-linux-gnu.so       7fca56c44f00            2            2
